2024-06-23 18:42:51.233 [main] INFO  g.o.s.ShortenServiceApplication - Starting ShortenServiceApplication using Java 17.0.2 with PID 16668 (C:\SON.admin\ProjectFinal\gonlink.online\backend\shorten-service\build\classes\java\main started by ADMIN in C:\SON.admin\ProjectFinal\gonlink.online\backend)
2024-06-23 20:16:48.266 [cluster-ClusterId{value='6678203fa873977e89b14de8', description='null'}-ac-duaokb9-shard-00-02.m0vbmbu.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-duaokb9-shard-00-02.m0vbmbu.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=298347400, setName='atlas-mog6u6-shard-0', canonicalAddress=ac-duaokb9-shard-00-02.m0vbmbu.mongodb.net:27017, hosts=[ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017, ac-duaokb9-shard-00-00.m0vbmbu.mongodb.net:27017, ac-duaokb9-shard-00-02.m0vbmbu.mongodb.net:27017], passives=[], arbiters=[], primary='ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='apse1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTHEAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=174, topologyVersion=TopologyVersion{processId=667713e45aeb0ccf358d8d0e, counter=5}, lastWriteDate=Sun Jun 23 20:17:20 ICT 2024, lastUpdateTimeNanos=994774611301000}
2024-06-23 20:16:48.266 [cluster-ClusterId{value='6678203fa873977e89b14de8', description='null'}-ac-duaokb9-shard-00-00.m0vbmbu.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-duaokb9-shard-00-00.m0vbmbu.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=298988900, setName='atlas-mog6u6-shard-0', canonicalAddress=ac-duaokb9-shard-00-00.m0vbmbu.mongodb.net:27017, hosts=[ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017, ac-duaokb9-shard-00-00.m0vbmbu.mongodb.net:27017, ac-duaokb9-shard-00-02.m0vbmbu.mongodb.net:27017], passives=[], arbiters=[], primary='ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='apse1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTHEAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=174, topologyVersion=TopologyVersion{processId=66771273682e8caa7e42ad04, counter=5}, lastWriteDate=Sun Jun 23 20:17:20 ICT 2024, lastUpdateTimeNanos=994774611300900}
2024-06-23 20:16:48.267 [cluster-ClusterId{value='6678203fa873977e89b14de8', description='null'}-ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017 with max election id 7fffffff0000000000000166 and max set version 174
2024-06-23 20:16:48.357 [main] INFO  n.d.b.g.s.s.GrpcServerLifecycle - gRPC Server started, listening on address: *, port: 9090
2024-06-23 20:16:48.364 [main] INFO  g.o.s.ShortenServiceApplication - Started ShortenServiceApplication in 1.991 seconds (process running for 2.56)
2024-06-23 20:16:59.466 [SpringApplicationShutdownHook] INFO  n.d.b.g.s.s.GrpcServerLifecycle - Completed gRPC server shutdown
2024-06-23 20:17:01.658 [main] INFO  g.o.s.ShortenServiceApplication - Starting ShortenServiceApplication using Java 17.0.2 with PID 14892 (C:\SON.admin\ProjectFinal\gonlink.online\backend\shorten-service\build\classes\java\main started by ADMIN in C:\SON.admin\ProjectFinal\gonlink.online\backend)
2024-06-23 20:17:01.660 [main] INFO  g.o.s.ShortenServiceApplication - No active profile set, falling back to 1 default profile: "default"
2024-06-23 20:17:02.035 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2024-06-23 20:17:02.090 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 50 ms. Found 1 MongoDB repository interface.
2024-06-23 20:17:02.409 [cluster-ClusterId{value='6678204ef2b74b373236f7a8', description='null'}-srv-cluster0.m0vbmbu.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-duaokb9-shard-00-02.m0vbmbu.mongodb.net:27017 to client view of cluster
2024-06-23 20:17:02.439 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.0.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/17.0.2+8-LTS-86"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='sonnees', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@f1868c9, com.mongodb.Jep395RecordCodecProvider@4ba6ec50, com.mongodb.KotlinCodecProvider@642413d4]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.m0vbmbu.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-mog6u6-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null}
2024-06-23 20:17:02.447 [cluster-ClusterId{value='6678204ef2b74b373236f7a8', description='null'}-srv-cluster0.m0vbmbu.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-duaokb9-shard-00-00.m0vbmbu.mongodb.net:27017 to client view of cluster
2024-06-23 20:17:02.450 [cluster-ClusterId{value='6678204ef2b74b373236f7a8', description='null'}-srv-cluster0.m0vbmbu.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017 to client view of cluster
2024-06-23 20:17:02.819 [main] INFO  n.d.b.g.s.a.GrpcServerFactoryAutoConfiguration - Detected grpc-netty-shaded: Creating ShadedNettyGrpcServerFactory
2024-06-23 20:17:02.981 [cluster-ClusterId{value='6678204ef2b74b373236f7a8', description='null'}-ac-duaokb9-shard-00-00.m0vbmbu.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-duaokb9-shard-00-00.m0vbmbu.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=324366100, setName='atlas-mog6u6-shard-0', canonicalAddress=ac-duaokb9-shard-00-00.m0vbmbu.mongodb.net:27017, hosts=[ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017, ac-duaokb9-shard-00-00.m0vbmbu.mongodb.net:27017, ac-duaokb9-shard-00-02.m0vbmbu.mongodb.net:27017], passives=[], arbiters=[], primary='ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='apse1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTHEAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=174, topologyVersion=TopologyVersion{processId=66771273682e8caa7e42ad04, counter=5}, lastWriteDate=Sun Jun 23 20:17:34 ICT 2024, lastUpdateTimeNanos=994789327437400}
2024-06-23 20:17:02.981 [cluster-ClusterId{value='6678204ef2b74b373236f7a8', description='null'}-ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=329760200, setName='atlas-mog6u6-shard-0', canonicalAddress=ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017, hosts=[ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017, ac-duaokb9-shard-00-00.m0vbmbu.mongodb.net:27017, ac-duaokb9-shard-00-02.m0vbmbu.mongodb.net:27017], passives=[], arbiters=[], primary='ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='apse1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTHEAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000166, setVersion=174, topologyVersion=TopologyVersion{processId=6677115120c1dfd097c229a1, counter=9}, lastWriteDate=Sun Jun 23 20:17:34 ICT 2024, lastUpdateTimeNanos=994789327437400}
2024-06-23 20:17:02.981 [cluster-ClusterId{value='6678204ef2b74b373236f7a8', description='null'}-ac-duaokb9-shard-00-02.m0vbmbu.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-duaokb9-shard-00-02.m0vbmbu.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=328251900, setName='atlas-mog6u6-shard-0', canonicalAddress=ac-duaokb9-shard-00-02.m0vbmbu.mongodb.net:27017, hosts=[ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017, ac-duaokb9-shard-00-00.m0vbmbu.mongodb.net:27017, ac-duaokb9-shard-00-02.m0vbmbu.mongodb.net:27017], passives=[], arbiters=[], primary='ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='apse1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTHEAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=174, topologyVersion=TopologyVersion{processId=667713e45aeb0ccf358d8d0e, counter=5}, lastWriteDate=Sun Jun 23 20:17:34 ICT 2024, lastUpdateTimeNanos=994789327437300}
2024-06-23 20:17:02.983 [cluster-ClusterId{value='6678204ef2b74b373236f7a8', description='null'}-ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017 with max election id 7fffffff0000000000000166 and max set version 174
2024-06-23 20:17:03.116 [main] INFO  n.d.b.g.s.s.AbstractGrpcServerFactory - Registered gRPC service: gonlink.online.UrlShortenerService, bean: urlShortenerServiceGrpc, class: gonlink.online.shortenservice.grpc.UrlShortenerServiceGrpc
2024-06-23 20:17:03.116 [main] INFO  n.d.b.g.s.s.AbstractGrpcServerFactory - Registered gRPC service: grpc.health.v1.Health, bean: grpcHealthService, class: io.grpc.protobuf.services.HealthServiceImpl
2024-06-23 20:17:03.116 [main] INFO  n.d.b.g.s.s.AbstractGrpcServerFactory - Registered gRPC service: grpc.reflection.v1alpha.ServerReflection, bean: protoReflectionService, class: io.grpc.protobuf.services.ProtoReflectionService
2024-06-23 20:17:03.259 [main] INFO  n.d.b.g.s.s.GrpcServerLifecycle - gRPC Server started, listening on address: *, port: 9090
2024-06-23 20:17:03.269 [main] INFO  g.o.s.ShortenServiceApplication - Started ShortenServiceApplication in 1.949 seconds (process running for 2.512)
2024-06-23 20:17:21.860 [grpc-default-executor-0] ERROR g.o.s.s.impl.UrlShortenerServiceImpl - [UrlShortenerServiceImpl#generateShortCode < checkURL] Unexpected error: {} java.net.MalformedURLException: no protocol: nisi do non proident
2024-06-23 20:17:21.861 [grpc-default-executor-0] ERROR g.o.s.grpc.UrlShortenerServiceGrpc - [UrlShortenerServiceGrpc#generateShortCode] Unexpected error: {} io.grpc.StatusRuntimeException: INTERNAL: URL Error
2024-06-23 20:17:55.489 [SpringApplicationShutdownHook] INFO  n.d.b.g.s.s.GrpcServerLifecycle - Completed gRPC server shutdown
2024-06-23 20:17:58.837 [main] INFO  g.o.s.ShortenServiceApplication - Starting ShortenServiceApplication using Java 17.0.2 with PID 23648 (C:\SON.admin\ProjectFinal\gonlink.online\backend\shorten-service\build\classes\java\main started by ADMIN in C:\SON.admin\ProjectFinal\gonlink.online\backend)
2024-06-23 20:17:58.840 [main] INFO  g.o.s.ShortenServiceApplication - No active profile set, falling back to 1 default profile: "default"
2024-06-23 20:17:59.227 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2024-06-23 20:17:59.276 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 45 ms. Found 1 MongoDB repository interface.
2024-06-23 20:17:59.579 [cluster-ClusterId{value='667820879732c466dcda3073', description='null'}-srv-cluster0.m0vbmbu.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-duaokb9-shard-00-02.m0vbmbu.mongodb.net:27017 to client view of cluster
2024-06-23 20:17:59.601 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.0.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/17.0.2+8-LTS-86"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='sonnees', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@24534cb0, com.mongodb.Jep395RecordCodecProvider@5a50d9fc, com.mongodb.KotlinCodecProvider@106d77da]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.m0vbmbu.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-mog6u6-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null}
2024-06-23 20:17:59.606 [cluster-ClusterId{value='667820879732c466dcda3073', description='null'}-srv-cluster0.m0vbmbu.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-duaokb9-shard-00-00.m0vbmbu.mongodb.net:27017 to client view of cluster
2024-06-23 20:17:59.613 [cluster-ClusterId{value='667820879732c466dcda3073', description='null'}-srv-cluster0.m0vbmbu.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017 to client view of cluster
2024-06-23 20:18:00.147 [main] INFO  n.d.b.g.s.a.GrpcServerFactoryAutoConfiguration - Detected grpc-netty-shaded: Creating ShadedNettyGrpcServerFactory
2024-06-23 20:18:00.221 [cluster-ClusterId{value='667820879732c466dcda3073', description='null'}-ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=396449400, setName='atlas-mog6u6-shard-0', canonicalAddress=ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017, hosts=[ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017, ac-duaokb9-shard-00-00.m0vbmbu.mongodb.net:27017, ac-duaokb9-shard-00-02.m0vbmbu.mongodb.net:27017], passives=[], arbiters=[], primary='ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='apse1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTHEAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000166, setVersion=174, topologyVersion=TopologyVersion{processId=6677115120c1dfd097c229a1, counter=9}, lastWriteDate=Sun Jun 23 20:18:32 ICT 2024, lastUpdateTimeNanos=994846567328400}
2024-06-23 20:18:00.221 [cluster-ClusterId{value='667820879732c466dcda3073', description='null'}-ac-duaokb9-shard-00-02.m0vbmbu.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-duaokb9-shard-00-02.m0vbmbu.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=394452400, setName='atlas-mog6u6-shard-0', canonicalAddress=ac-duaokb9-shard-00-02.m0vbmbu.mongodb.net:27017, hosts=[ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017, ac-duaokb9-shard-00-00.m0vbmbu.mongodb.net:27017, ac-duaokb9-shard-00-02.m0vbmbu.mongodb.net:27017], passives=[], arbiters=[], primary='ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='apse1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTHEAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=174, topologyVersion=TopologyVersion{processId=667713e45aeb0ccf358d8d0e, counter=5}, lastWriteDate=Sun Jun 23 20:18:32 ICT 2024, lastUpdateTimeNanos=994846567328400}
2024-06-23 20:18:00.221 [cluster-ClusterId{value='667820879732c466dcda3073', description='null'}-ac-duaokb9-shard-00-00.m0vbmbu.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-duaokb9-shard-00-00.m0vbmbu.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=401377600, setName='atlas-mog6u6-shard-0', canonicalAddress=ac-duaokb9-shard-00-00.m0vbmbu.mongodb.net:27017, hosts=[ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017, ac-duaokb9-shard-00-00.m0vbmbu.mongodb.net:27017, ac-duaokb9-shard-00-02.m0vbmbu.mongodb.net:27017], passives=[], arbiters=[], primary='ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='apse1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTHEAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=174, topologyVersion=TopologyVersion{processId=66771273682e8caa7e42ad04, counter=5}, lastWriteDate=Sun Jun 23 20:18:32 ICT 2024, lastUpdateTimeNanos=994846567328300}
2024-06-23 20:18:00.225 [cluster-ClusterId{value='667820879732c466dcda3073', description='null'}-ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017 with max election id 7fffffff0000000000000166 and max set version 174
2024-06-23 20:18:00.422 [main] INFO  n.d.b.g.s.s.AbstractGrpcServerFactory - Registered gRPC service: gonlink.online.UrlShortenerService, bean: urlShortenerServiceGrpc, class: gonlink.online.shortenservice.grpc.UrlShortenerServiceGrpc
2024-06-23 20:18:00.423 [main] INFO  n.d.b.g.s.s.AbstractGrpcServerFactory - Registered gRPC service: grpc.health.v1.Health, bean: grpcHealthService, class: io.grpc.protobuf.services.HealthServiceImpl
2024-06-23 20:18:00.423 [main] INFO  n.d.b.g.s.s.AbstractGrpcServerFactory - Registered gRPC service: grpc.reflection.v1alpha.ServerReflection, bean: protoReflectionService, class: io.grpc.protobuf.services.ProtoReflectionService
2024-06-23 20:18:00.573 [main] INFO  n.d.b.g.s.s.GrpcServerLifecycle - gRPC Server started, listening on address: *, port: 9090
2024-06-23 20:18:00.581 [main] INFO  g.o.s.ShortenServiceApplication - Started ShortenServiceApplication in 2.092 seconds (process running for 2.699)
2024-06-23 20:20:12.211 [SpringApplicationShutdownHook] INFO  n.d.b.g.s.s.GrpcServerLifecycle - Completed gRPC server shutdown
